interactive,unused-javascript,total-byte-weight,resource_image_bytes,resource_font_bytes,unused-css-rules,unused-javascript_savings_bytes,resource_third-party_bytes,category,strategy
44030.32925266524,6050.0,7386917.0,522758.0,278618.0,750.0,1300407.0,4093038.0,Retail & Ecommerce,mobile
42323.08404646204,0.0,7023863.0,313591.0,276638.0,300.0,1306254.0,3935535.0,Retail & Ecommerce,mobile
42584.24889488635,5850.0,7049530.0,322690.0,276636.0,620.0,1298956.0,4020573.0,Retail & Ecommerce,mobile
40542.95742094326,150.0,6418281.0,279782.0,276644.0,750.0,1280300.0,3846890.0,Retail & Ecommerce,mobile
54605.75610627029,7650.0,18489971.0,1961838.0,202692.0,610.0,1400209.0,5588222.0,Retail & Ecommerce,mobile
57634.31465415304,9840.0,16269643.0,2176374.0,202716.0,750.0,1403994.0,12846945.0,Retail & Ecommerce,mobile
47972.690319453126,1350.0,7691197.0,40711.0,202712.0,600.0,1446003.0,4379428.0,Retail & Ecommerce,mobile
59005.63812245961,8520.0,10533568.0,2358601.0,202706.0,450.0,1419702.0,6997747.0,Retail & Ecommerce,mobile
48016.18271773546,2250.0,7643882.0,41526.0,202704.0,600.0,1436867.0,4346251.0,Retail & Ecommerce,mobile
51076.39565234323,7510.0,22913057.0,360259.0,202707.0,900.0,1414863.0,4561903.0,Retail & Ecommerce,mobile
49872.51394108588,1800.0,11442333.0,335615.0,202716.0,600.0,1416991.0,4475515.0,Retail & Ecommerce,mobile
57294.22764197822,6520.0,23227986.0,1346066.0,208567.0,300.0,1407631.0,6031329.0,Retail & Ecommerce,mobile
61687.53304756535,9200.0,11454398.0,4033717.0,878464.0,0.0,1444675.0,4579970.0,Retail & Ecommerce,mobile
62024.50791197206,8440.0,11395815.0,4030355.0,878876.0,300.0,1389415.0,4752744.0,Retail & Ecommerce,mobile
59950.98951368574,8480.0,10916866.0,3587561.0,878274.0,600.0,1423324.0,4686301.0,Retail & Ecommerce,mobile
65152.38069755105,280.0,12076628.0,3883184.0,941007.0,280.0,1332256.0,5594080.0,Retail & Ecommerce,mobile
70474.87944855123,300.0,14053564.0,5959947.0,940934.0,300.0,1556887.0,5402948.0,Retail & Ecommerce,mobile
22838.55655962656,920.0,17003601.0,784418.0,159694.0,150.0,779722.0,15989644.0,Retail & Ecommerce,mobile
25005.875004739377,4720.0,4211225.0,407721.0,288218.0,0.0,784475.0,2925680.0,Retail & Ecommerce,mobile
25573.171266320627,760.0,4875998.0,708772.0,290192.0,150.0,727787.0,3422619.0,Retail & Ecommerce,mobile
22203.70774276046,1770.0,3826072.0,184145.0,159696.0,150.0,814533.0,2488162.0,Retail & Ecommerce,mobile
19641.89979480247,1650.0,4405754.0,266236.0,162190.0,0.0,748252.0,1940777.0,Retail & Ecommerce,mobile
21408.388450905448,1650.0,3971360.0,303986.0,115138.0,150.0,830966.0,1690920.0,Retail & Ecommerce,mobile
22082.469522112147,300.0,3980428.0,288638.0,161876.0,450.0,832321.0,1672867.0,Retail & Ecommerce,mobile
21012.83716832871,1650.0,4077812.0,280331.0,115453.0,300.0,831498.0,1739324.0,Retail & Ecommerce,mobile
19535.59224497292,1350.0,3829661.0,282399.0,115453.0,0.0,831201.0,1629790.0,Retail & Ecommerce,mobile
21531.145022682525,1950.0,4162059.0,303770.0,162191.0,450.0,832307.0,1744656.0,Retail & Ecommerce,mobile
