performance_score,unused-javascript,total-byte-weight,resource_image_bytes,resource_font_bytes,unused-css-rules,unused-javascript_savings_bytes,resource_third-party_bytes,category,strategy
0.33,6050.0,7386917.0,522758.0,278618.0,750.0,1300407.0,4093038.0,Retail & Ecommerce,mobile
0.35,0.0,7023863.0,313591.0,276638.0,300.0,1306254.0,3935535.0,Retail & Ecommerce,mobile
0.36,5850.0,7049530.0,322690.0,276636.0,620.0,1298956.0,4020573.0,Retail & Ecommerce,mobile
0.34,150.0,6418281.0,279782.0,276644.0,750.0,1280300.0,3846890.0,Retail & Ecommerce,mobile
0.25,7650.0,18489971.0,1961838.0,202692.0,610.0,1400209.0,5588222.0,Retail & Ecommerce,mobile
0.27,9840.0,16269643.0,2176374.0,202716.0,750.0,1403994.0,12846945.0,Retail & Ecommerce,mobile
0.32,1350.0,7691197.0,40711.0,202712.0,600.0,1446003.0,4379428.0,Retail & Ecommerce,mobile
0.24,8520.0,10533568.0,2358601.0,202706.0,450.0,1419702.0,6997747.0,Retail & Ecommerce,mobile
0.29,2250.0,7643882.0,41526.0,202704.0,600.0,1436867.0,4346251.0,Retail & Ecommerce,mobile
0.26,7510.0,22913057.0,360259.0,202707.0,900.0,1414863.0,4561903.0,Retail & Ecommerce,mobile
0.26,1800.0,11442333.0,335615.0,202716.0,600.0,1416991.0,4475515.0,Retail & Ecommerce,mobile
0.25,6520.0,23227986.0,1346066.0,208567.0,300.0,1407631.0,6031329.0,Retail & Ecommerce,mobile
0.05,9200.0,11454398.0,4033717.0,878464.0,0.0,1444675.0,4579970.0,Retail & Ecommerce,mobile
0.26,8440.0,11395815.0,4030355.0,878876.0,300.0,1389415.0,4752744.0,Retail & Ecommerce,mobile
0.1,8480.0,10916866.0,3587561.0,878274.0,600.0,1423324.0,4686301.0,Retail & Ecommerce,mobile
0.19,280.0,12076628.0,3883184.0,941007.0,280.0,1332256.0,5594080.0,Retail & Ecommerce,mobile
0.18,300.0,14053564.0,5959947.0,940934.0,300.0,1556887.0,5402948.0,Retail & Ecommerce,mobile
0.32,920.0,17003601.0,784418.0,159694.0,150.0,779722.0,15989644.0,Retail & Ecommerce,mobile
0.25,4720.0,4211225.0,407721.0,288218.0,0.0,784475.0,2925680.0,Retail & Ecommerce,mobile
0.42,760.0,4875998.0,708772.0,290192.0,150.0,727787.0,3422619.0,Retail & Ecommerce,mobile
0.43,1770.0,3826072.0,184145.0,159696.0,150.0,814533.0,2488162.0,Retail & Ecommerce,mobile
0.32,1650.0,4405754.0,266236.0,162190.0,0.0,748252.0,1940777.0,Retail & Ecommerce,mobile
0.16,1650.0,3971360.0,303986.0,115138.0,150.0,830966.0,1690920.0,Retail & Ecommerce,mobile
0.37,300.0,3980428.0,288638.0,161876.0,450.0,832321.0,1672867.0,Retail & Ecommerce,mobile
0.16,1650.0,4077812.0,280331.0,115453.0,300.0,831498.0,1739324.0,Retail & Ecommerce,mobile
0.19,1350.0,3829661.0,282399.0,115453.0,0.0,831201.0,1629790.0,Retail & Ecommerce,mobile
0.24,1950.0,4162059.0,303770.0,162191.0,450.0,832307.0,1744656.0,Retail & Ecommerce,mobile
0.2,1650.0,3942453.0,299356.0,115129.0,150.0,830596.0,1662364.0,Retail & Ecommerce,mobile
0.45,0.0,16353346.0,1678237.0,238041.0,0.0,1676946.0,11975870.0,Retail & Ecommerce,mobile
0.21,4950.0,7375594.0,883091.0,132461.0,900.0,1671728.0,3857518.0,Retail & Ecommerce,mobile
0.23,1200.0,7242155.0,756719.0,132471.0,610.0,1673029.0,3847376.0,Retail & Ecommerce,mobile
0.31,450.0,7374146.0,848872.0,132471.0,300.0,1673753.0,3893004.0,Retail & Ecommerce,mobile
0.41,8280.0,7041460.0,503891.0,88689.0,900.0,1703858.0,3963638.0,Retail & Ecommerce,mobile
0.39,7730.0,7280229.0,497476.0,224873.0,750.0,1692317.0,4375553.0,Retail & Ecommerce,mobile
0.66,5110.0,6304233.0,85929.0,78480.0,750.0,1689820.0,3740831.0,Retail & Ecommerce,mobile
0.17,1800.0,7761688.0,883619.0,268212.0,750.0,1641534.0,4219598.0,Retail & Ecommerce,mobile
0.34,900.0,7809646.0,940355.0,268680.0,600.0,1654824.0,4224240.0,Retail & Ecommerce,mobile
0.36,8470.0,6910117.0,487647.0,88688.0,450.0,1719960.0,4033328.0,Retail & Ecommerce,mobile
0.37,600.0,6762187.0,2713195.0,684351.0,150.0,905178.0,4116820.0,Retail & Ecommerce,mobile
0.34,3200.0,3367263.0,41822.0,684351.0,150.0,664375.0,1255674.0,Retail & Ecommerce,mobile
0.16,3450.0,4615122.0,652992.0,684351.0,300.0,891345.0,1917574.0,Retail & Ecommerce,mobile
0.38,1800.0,5497515.0,1877695.0,684351.0,0.0,726026.0,3310787.0,Retail & Ecommerce,mobile
0.35,750.0,8641136.0,4416349.0,684351.0,150.0,882395.0,6445141.0,Retail & Ecommerce,mobile
0.38,750.0,6655125.0,2344477.0,684351.0,150.0,901977.0,3956964.0,Retail & Ecommerce,mobile
0.55,1350.0,4004638.0,471550.0,684351.0,0.0,725032.0,1814728.0,Retail & Ecommerce,mobile
0.47,2890.0,5917637.0,2344825.0,684351.0,150.0,746133.0,3541897.0,Retail & Ecommerce,mobile
0.58,540.0,2592725.0,924268.0,59669.0,1440.0,549428.0,1989510.0,Retail & Ecommerce,mobile
0.61,0.0,3155420.0,164248.0,130638.0,1350.0,868697.0,2579492.0,Retail & Ecommerce,mobile
0.5,460.0,3143159.0,157378.0,130620.0,1220.0,868704.0,2567678.0,Retail & Ecommerce,mobile
0.67,390.0,1797395.0,154401.0,59672.0,1150.0,555197.0,1221921.0,Retail & Ecommerce,mobile
1.0,0.0,11999.0,0.0,0.0,0.0,0.0,0.0,Retail & Ecommerce,mobile
0.7,150.0,1168489.0,572637.0,0.0,0.0,222822.0,483160.0,Retail & Ecommerce,mobile
0.28,3510.0,81074734.0,11042286.0,66757.0,0.0,1068904.0,81044729.0,Retail & Ecommerce,mobile
0.33,5020.0,4918942.0,271077.0,1216481.0,0.0,2154365.0,1606509.0,Retail & Ecommerce,mobile
0.35,450.0,8407499.0,526088.0,1287447.0,0.0,2250839.0,4813562.0,Retail & Ecommerce,mobile
0.3,1050.0,8321516.0,306906.0,1287441.0,0.0,2282386.0,4976481.0,Retail & Ecommerce,mobile
0.27,1950.0,8748076.0,627032.0,1301872.0,0.0,2291867.0,4822913.0,Retail & Ecommerce,mobile
0.27,5520.0,8239147.0,346096.0,1301873.0,0.0,2120508.0,4551868.0,Retail & Ecommerce,mobile
0.3,2850.0,7968304.0,45892.0,1344745.0,0.0,2179876.0,4879211.0,Retail & Ecommerce,mobile
0.38,450.0,8519543.0,481993.0,1287440.0,0.0,2307247.0,5008217.0,Retail & Ecommerce,mobile
0.31,4480.0,8143641.0,275859.0,1287441.0,0.0,2142153.0,4669017.0,Retail & Ecommerce,mobile
0.33,300.0,15383903.0,432186.0,226129.0,0.0,427997.0,14059489.0,Retail & Ecommerce,mobile
0.5,300.0,3919490.0,1242368.0,266113.0,0.0,509658.0,2580466.0,Retail & Ecommerce,mobile
0.48,150.0,7689059.0,992855.0,226133.0,0.0,429128.0,6446095.0,Retail & Ecommerce,mobile
0.32,150.0,3969401.0,1394842.0,226125.0,0.0,428596.0,2553238.0,Retail & Ecommerce,mobile
0.4,150.0,33365036.0,30711809.0,266102.0,0.0,510356.0,32046904.0,Retail & Ecommerce,mobile
0.58,150.0,2818525.0,210806.0,226127.0,0.0,511388.0,1472171.0,Retail & Ecommerce,mobile
0.46,150.0,2742014.0,91288.0,226127.0,0.0,511271.0,1454890.0,Retail & Ecommerce,mobile
0.41,2850.0,2621896.0,215178.0,226141.0,0.0,428440.0,1370716.0,Retail & Ecommerce,mobile
0.52,300.0,2896916.0,313157.0,226127.0,0.0,509273.0,1609582.0,Retail & Ecommerce,mobile
